StateFIPS,CountyFIPS,GEOID,AREA (HA),y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
20,107,20107,157036.435,32.66142,29.64465,24.47081,24.49796,24.09204,26.37445,26.15186,27.19306,25.70941,25.89706,26.10725,26.47493,26.6776,31.52824,29.82351,30.1998,29.45034,31.17777,36.92139,36.92582,36.81344,35.13673,34.72843,33.87686,33.47684,37.26275,36.98744,32.28048,32.90754,31.36106,32.37422,30.75532,36.70446,39.56302,37.09351,39.19138,40.71724,35.74754
20,109,20109,277910.326,-0.84806,5.73482,1.68554,-1.21742,-2.3863,-3.99521,0.52701,2.64806,3.80592,1.37956,1.56826,0.93862,2.54337,2.69761,4.69946,7.32557,8.64729,4.77078,4.85157,2.86807,11.63837,7.63385,13.8951,6.73021,9.15261,4.31654,9.69983,8.17213,7.06974,3.9981,10.13791,9,12.44498,11.09865,9.22338,5.76739,2.72596,5.40632
20,111,20111,221566.987,31.52341,25.23589,22.6022,24.03425,24.08094,21.43354,21.61944,23.12274,25.50597,27.86154,26.19623,25.40561,25.92274,31.59197,27.27676,30.24738,26.28543,29.12898,33.37511,33.54222,33.74695,31.67522,30.21156,30.0245,30.63983,34.35054,30.77841,28.78833,25.50149,23.31061,23.11461,21.92041,24.1962,22.1774,20.71593,23.3448,24.13445,23.0971
20,113,20113,233240.619,40.43887,40.26966,32.92214,33.35112,35.17327,34.48979,32.46078,29.44317,32.88728,41.1341,30.87085,39.63844,35.95902,42.44205,31.15873,39.03428,27.80216,21.04324,30.04458,30.06941,48.21221,43.46283,38.24149,36.53387,33.67784,43.1547,47.25492,65.57626,53.28258,49.99962,42.3566,42.87462,47.43397,50.72352,50.99868,34.9409,27.90759,41.07002
20,115,20115,246985.981,44.31721,40.15316,33.60331,33.59581,35.94928,29.44753,31.36549,27.93024,28.81166,33.03122,31.74377,37.02935,35.37734,43.84935,34.34564,40.91,34.52932,34.41281,45.00084,41.8899,54.73719,45.85493,46.36717,42.40495,37.51581,47.378,47.0744,52.16232,47.93447,43.72328,38.87653,38.84841,48.66951,51.24232,51.46605,48.87139,45.63055,42.1335
20,117,20117,234355.197,44.6952,31.81039,28.95852,27.58733,29.26698,22.643,31.91493,31.04368,32.72511,37.60747,28.5827,33.82149,24.81585,38.5356,22.10365,35.0314,29.54829,27.59667,32.7098,37.68987,41.75233,39.38174,44.72375,37.19252,34.00161,40.84757,45.46411,41.68725,34.96653,31.25578,44.85202,39.66478,42.43448,28.02779,27.86693,28.30695,28.05893,34.58569
20,119,20119,253713.024,10.62698,14.14053,7.39661,9.52185,4.63365,8.69646,10.88878,11.77093,20.25902,17.83778,13.19374,17.18233,13.76758,18.0361,18.12296,22.59168,22.9878,14.24371,13.34533,11.0463,28.67016,24.02229,22.56724,14.78157,18.96519,14.91834,22.26307,19.56775,15.29066,11.14562,10.17202,16.39117,19.9389,20.89372,20.76172,11.86685,12.67874,21.36205
20,121,20121,152852.352,43.44045,41.26811,34.15755,31.51351,33.18331,30.52767,32.56291,36.74113,36.87709,37.67767,38.30778,42.21204,44.63579,50.51003,47.26138,47.0858,42.35751,44.39157,50.3834,53.77598,55.81499,52.97855,53.97148,52.6957,53.0203,54.72051,52.01587,49.92436,47.61008,43.17769,45.31011,43.22119,41.73909,46.05342,43.39902,39.40071,37.84394,40.25714
20,123,20123,186276.96,39.14411,44.96379,34.92124,27.76005,34.43481,33.86813,31.42083,22.91195,34.51275,42.81976,20.19946,33.45693,25.06553,34.60028,24.84026,36.47556,33.44397,27.38039,32.65974,30.63444,44.08805,27.65774,40.73582,19.04733,24.93114,24.11203,29.06328,41.10164,22.9434,20.62914,32.47426,27.93515,38.05777,30.75327,38.03122,28.33951,21.99159,30.16966
20,125,20125,168744.446,32.34981,37.10246,32.65843,31.97686,35.49717,34.46432,31.70251,23.85962,25.84847,24.78285,26.58914,28.43451,27.27846,34.88737,33.35757,38.205,36.17776,37.80139,44.5992,46.31447,48.67889,44.26529,47.0744,46.68897,46.78932,48.52992,45.04762,38.61773,37.13587,35.8918,32.52491,34.81389,38.67057,37.78768,32.95661,35.07604,33.29545,38.2181
20,127,20127,182037.913,30.53425,28.12665,24.26766,23.35633,23.33684,21.51693,22.69863,23.34078,19.91227,24.7098,19.71591,22.29148,22.89611,27.33385,21.31644,27.92932,25.0163,19.13581,26.50387,26.75097,26.90411,24.9062,29.77871,24.99048,23.18202,30.47673,29.03879,31.03935,30.52489,27.40893,26.26537,27.32518,31.03175,31.60695,30.61238,29.40633,30.09039,25.76864
20,129,20129,188977.182,8.08781,8.0682,7.68356,6.70955,0.22657,4.1131,2.48735,2.56981,5.81358,7.47066,6.42098,8.00299,10.83391,12.28835,14.51014,15.96901,12.04335,9.42088,6.72863,2.73888,14.77495,10.72427,15.36241,11.18044,8.65924,2.23831,11.68638,13.29822,9.69893,-0.36138,9.67696,10.96325,14.75393,15.48606,16.75746,7.95829,5.90376,7.65193
20,131,20131,186284.977,44.38911,37.47894,40.30369,46.27217,47.66287,41.95509,45.45216,46.44088,48.73179,54.62157,46.55387,56.32973,51.60677,72.34314,54.0595,68.01511,60.48638,56.16507,62.97745,66.99959,74.83328,63.1701,72.03371,66.0653,63.14547,62.29421,61.92528,73.02163,59.86253,56.66882,77.39121,66.86071,95.32601,75.09555,76.97775,75.39741,76.11968,86.74514
20,133,20133,149641.01,37.90309,37.63518,29.73842,26.39346,32.68358,32.26464,36.01577,33.39002,36.76074,32.62331,35.29433,35.923,37.13783,41.65873,39.79047,41.98644,39.94109,41.82854,52.47732,52.84217,57.45877,51.2276,56.86952,51.67301,53.2172,51.52966,51.99016,56.04566,52.9066,49.55079,43.84711,44.33721,42.46992,47.13108,42.13084,41.07219,39.45308,40.30748
20,135,20135,278517.272,7.65655,18.45317,8.41053,9.07834,10.0953,10.11808,9.3107,1.80799,4.43447,7.47914,1.49239,5.01765,4.06366,6.6016,2.02133,6.80116,6.36371,1.72408,-1.51933,2.40963,7.37595,7.52114,10.1061,3.60128,7.92659,6.24665,11.33686,5.95209,0.24042,-3.54403,6.35618,7.83629,6.97703,5.37587,4.62221,-2.48533,-4.45619,0.25284
20,137,20137,228240.588,12.38402,19.46481,13.47184,12.67313,14.28082,16.06469,12.89635,5.75317,9.79208,15.1968,8.59489,13.09207,9.81898,13.67259,10.85334,16.22303,21.86857,19.41045,14.75471,18.34712,26.32338,18.94193,26.10121,19.68801,27.85456,18.16886,22.76729,31.07682,19.73818,17.11452,24.7059,24.11071,35.55476,38.49764,38.56641,29.17754,25.82603,20.95714
20,139,20139,186426.346,24.32241,26.79453,24.3336,24.42983,25.00181,19.29638,24.28189,24.48033,23.91775,23.08409,26.05329,26.36213,24.60664,29.78385,25.63479,29.5811,25.72781,25.30203,28.01883,31.1178,33.72712,32.42673,30.94476,30.70845,29.42786,34.47656,33.16859,31.71488,32.02635,29.82626,32.47836,29.67526,40.23489,41.93021,39.84611,34.14776,35.74345,30.62174
20,141,20141,231610.993,18.65435,17.00122,16.08143,12.67832,15.4362,17.50433,15.34788,12.27063,15.53238,21.87254,12.68631,18.74194,16.50857,21.78611,9.98727,12.62596,12.86866,8.79214,6.52056,10.34716,18.77306,16.78037,19.64276,11.14018,12.67998,13.93406,14.90892,20.12382,10.99531,7.44199,12.76645,8.66288,15.83158,15.65457,17.22892,10.59055,5.32501,11.49004
20,143,20143,186819.119,34.61686,37.17665,27.77406,22.62183,28.05943,29.39286,22.46233,17.80148,18.02679,26.62696,12.95677,21.18299,19.37565,27.70303,15.71268,25.60653,19.59959,17.26241,19.12558,21.57395,27.5285,22.38891,22.12213,10.26538,10.80727,25.89295,24.73327,32.97173,25.87572,22.51757,25.90477,25.7833,31.85324,30.7245,31.9984,23.34196,22.94511,28.84548
20,145,20145,195460.847,26.45396,27.74653,21.85198,22.16505,25.20268,27.66337,17.32245,20.28167,21.61361,30.11409,21.25616,24.14153,31.16415,26.69545,31.50786,43.58654,47.01197,39.34794,36.89728,41.33822,44.77571,42.26182,45.12689,36.00413,39.2667,40.98826,53.44684,59.27789,38.90652,34.83496,43.2633,43.86828,51.35382,47.76733,45.38992,35.91518,27.51446,32.56448
20,147,20147,231687.5,13.83502,20.51218,15.71794,15.78886,18.94919,17.70556,13.87621,9.73947,14.49237,20.39154,16.88758,21.22262,18.15373,25.09395,14.68423,19.72363,19.06891,9.99859,12.38031,16.20457,22.32642,18.82777,22.92909,19.54296,22.59101,16.2794,17.99706,23.61311,14.50979,11.36769,20.84522,18.76035,27.11595,28.07918,27.35456,15.13711,16.6393,16.3334
20,149,20149,223168.121,25.93227,21.37056,20.30525,20.10963,18.61766,17.89165,19.4833,21.84891,21.99755,25.49051,24.43101,27.61817,27.03261,33.98022,25.93934,28.59827,22.84262,21.58677,26.65363,27.77491,25.86972,24.64503,28.18406,23.56445,23.55655,26.09397,28.63056,34.08188,31.14619,29.75405,34.47905,33.38471,34.93124,30.00474,29.94045,30.39352,30.58878,32.25919
20,151,20151,190561.518,38.36571,35.53314,34.02983,29.71256,31.78891,37.60069,35.55126,49.93833,51.3599,62.03614,49.86202,58.64916,54.20619,53.46744,57.49609,64.9793,55.7361,46.59022,48.81852,42.55469,51.26328,39.65187,46.07879,22.72539,31.77437,37.54218,42.21154,68.50463,55.14136,47.47891,52.31184,50.28128,55.315,57.41194,54.16809,44.17511,37.73995,48.42255
